sample_id,time,hostname,offset_ns,jitter_ns
105,2026-09-04 18:43:27,compute-0-3,-48.0,57.000
106,2026-09-04 18:43:37,compute-0-1,-102.0,112.000
106,2026-09-04 18:43:38,compute-0-2,-103.0,109.000
106,2026-09-04 18:43:38,compute-0-3,76.0,124.000
107,2026-09-04 18:43:48,compute-0-1,28.0,130.000
107,2026-09-04 18:43:49,compute-0-2,29.0,132.000
107,2026-09-04 18:43:49,compute-0-3,29.0,47.000
108,2026-09-04 18:43:59,compute-0-1,16.0,12.000
108,2026-09-04 18:44:00,compute-0-2,26.0,3.000
108,2026-09-04 18:44:00,compute-0-3,-23.0,52.000
109,2026-09-04 18:44:11,compute-0-1,-91.0,107.000
109,2026-09-04 18:44:11,compute-0-2,54.0,28.000
109,2026-09-04 18:44:11,compute-0-3,47.0,70.000
110,2026-09-04 18:44:22,compute-0-1,35.0,126.000
110,2026-09-04 18:44:22,compute-0-2,57.0,3.000
110,2026-09-04 18:44:22,compute-0-3,1.0,46.000
111,2026-09-04 18:44:33,compute-0-1,48.0,13.000
111,2026-09-04 18:44:33,compute-0-2,34.0,23.000
111,2026-09-04 18:44:34,compute-0-3,22.0,21.000
112,2026-09-04 18:44:44,compute-0-1,23.0,25.000
112,2026-09-04 18:44:44,compute-0-2,4.0,30.000
112,2026-09-04 18:44:45,compute-0-3,6.0,16.000
113,2026-09-04 18:44:55,compute-0-1,36.0,13.000
113,2026-09-04 18:44:55,compute-0-2,41.0,37.000
113,2026-09-04 18:44:56,compute-0-3,39.0,33.000
114,2026-09-04 18:45:06,compute-0-1,39.0,3.000
114,2026-09-04 18:45:06,compute-0-2,41.0,0.000
114,2026-09-04 18:45:07,compute-0-3,55.0,16.000
115,2026-09-04 18:45:17,compute-0-1,-101.0,140.000
115,2026-09-04 18:45:17,compute-0-2,89.0,48.000
115,2026-09-04 18:45:18,compute-0-3,50.0,5.000
116,2026-09-04 18:45:28,compute-0-1,15.0,116.000
116,2026-09-04 18:45:29,compute-0-2,-12.0,101.000
116,2026-09-04 18:45:29,compute-0-3,-30.0,80.000
117,2026-09-04 18:45:39,compute-0-1,27.0,12.000
117,2026-09-04 18:45:40,compute-0-2,36.0,48.000
117,2026-09-04 18:45:40,compute-0-3,-17.0,13.000
118,2026-09-04 18:45:51,compute-0-1,32.0,5.000
118,2026-09-04 18:45:51,compute-0-2,77.0,41.000
118,2026-09-04 18:45:51,compute-0-3,50.0,67.000
119,2026-09-04 18:46:02,compute-0-1,-27.0,59.000
119,2026-09-04 18:46:02,compute-0-2,-79.0,156.000
119,2026-09-04 18:46:02,compute-0-3,-109.0,159.000
120,2026-09-04 18:46:13,compute-0-1,46.0,73.000
120,2026-09-04 18:46:13,compute-0-2,17.0,96.000
120,2026-09-04 18:46:13,compute-0-3,-45.0,64.000
121,2026-09-04 18:46:24,compute-0-1,66.0,20.000
121,2026-09-04 18:46:24,compute-0-2,76.0,59.000
121,2026-09-04 18:46:25,compute-0-3,29.0,74.000
122,2026-09-04 18:46:35,compute-0-1,-23.0,89.000
122,2026-09-04 18:46:35,compute-0-2,-56.0,132.000
122,2026-09-04 18:46:36,compute-0-3,-92.0,121.000
123,2026-09-04 18:46:46,compute-0-1,45.0,68.000
123,2026-09-04 18:46:46,compute-0-2,32.0,88.000
123,2026-09-04 18:46:47,compute-0-3,23.0,115.000
124,2026-09-04 18:46:57,compute-0-1,-47.0,92.000
124,2026-09-04 18:46:57,compute-0-2,-71.0,103.000
124,2026-09-04 18:46:58,compute-0-3,-75.0,98.000
125,2026-09-04 18:47:08,compute-0-1,44.0,91.000
125,2026-09-04 18:47:08,compute-0-2,74.0,145.000
125,2026-09-04 18:47:09,compute-0-3,6.0,81.000
126,2026-09-04 18:47:19,compute-0-1,45.0,1.000
126,2026-09-04 18:47:20,compute-0-2,35.0,39.000
126,2026-09-04 18:47:20,compute-0-3,38.0,32.000
127,2026-09-04 18:47:31,compute-0-1,29.0,16.000
127,2026-09-04 18:47:31,compute-0-2,1.0,34.000
127,2026-09-04 18:47:31,compute-0-3,-44.0,82.000
128,2026-09-04 18:47:42,compute-0-1,-83.0,112.000
128,2026-09-04 18:47:42,compute-0-2,-97.0,98.000
128,2026-09-04 18:47:42,compute-0-3,-106.0,62.000
129,2026-09-04 18:47:53,compute-0-1,65.0,148.000
129,2026-09-04 18:47:53,compute-0-2,18.0,115.000
129,2026-09-04 18:47:53,compute-0-3,-4.0,102.000
130,2026-09-04 18:48:04,compute-0-1,-1.0,66.000
130,2026-09-04 18:48:04,compute-0-2,-18.0,36.000
130,2026-09-04 18:48:04,compute-0-3,-32.0,28.000
131,2026-09-04 18:48:15,compute-0-1,-73.0,72.000
131,2026-09-04 18:48:15,compute-0-2,-104.0,86.000
131,2026-09-04 18:48:16,compute-0-3,-73.0,41.000
132,2026-09-04 18:48:26,compute-0-1,46.0,119.000
132,2026-09-04 18:48:26,compute-0-2,38.0,142.000
132,2026-09-04 18:48:27,compute-0-3,51.0,124.000
133,2026-09-04 18:48:37,compute-0-1,-74.0,120.000
133,2026-09-04 18:48:38,compute-0-2,-99.0,137.000
133,2026-09-04 18:48:38,compute-0-3,-102.0,153.000
134,2026-09-04 18:48:48,compute-0-1,84.0,158.000
134,2026-09-04 18:48:49,compute-0-2,64.0,163.000
134,2026-09-04 18:48:49,compute-0-3,35.0,137.000
135,2026-09-04 18:48:59,compute-0-1,51.0,33.000
135,2026-09-04 18:49:00,compute-0-2,37.0,27.000
135,2026-09-04 18:49:00,compute-0-3,-34.0,69.000
136,2026-09-04 18:49:10,compute-0-1,-34.0,85.000
136,2026-09-04 18:49:11,compute-0-2,-35.0,72.000
136,2026-09-04 18:49:11,compute-0-3,-55.0,21.000
137,2026-09-04 18:49:22,compute-0-1,18.0,52.000
137,2026-09-04 18:49:22,compute-0-2,37.0,72.000
137,2026-09-04 18:49:22,compute-0-3,16.0,71.000
138,2026-09-04 18:49:33,compute-0-1,-19.0,37.000
138,2026-09-04 18:49:33,compute-0-2,-52.0,89.000
138,2026-09-04 18:49:34,compute-0-3,-58.0,74.000
139,2026-09-04 18:49:44,compute-0-1,-57.0,38.000
139,2026-09-04 18:49:44,compute-0-2,-86.0,34.000
139,2026-09-04 18:49:45,compute-0-3,61.0,119.000
140,2026-09-04 18:49:55,compute-0-1,34.0,91.000
140,2026-09-04 18:49:55,compute-0-2,53.0,139.000
140,2026-09-04 18:49:56,compute-0-3,34.0,27.000
141,2026-09-04 18:50:06,compute-0-1,19.0,15.000
141,2026-09-04 18:50:06,compute-0-2,-5.0,58.000
141,2026-09-04 18:50:07,compute-0-3,-31.0,65.000
142,2026-09-04 18:50:17,compute-0-1,-48.0,67.000
142,2026-09-04 18:50:18,compute-0-2,-64.0,59.000
142,2026-09-04 18:50:18,compute-0-3,-76.0,45.000
143,2026-09-04 18:50:28,compute-0-1,40.0,88.000
143,2026-09-04 18:50:29,compute-0-2,17.0,81.000
143,2026-09-04 18:50:29,compute-0-3,41.0,117.000
144,2026-09-04 18:50:39,compute-0-1,12.0,28.000
144,2026-09-04 18:50:40,compute-0-2,24.0,7.000
144,2026-09-04 18:50:40,compute-0-3,-59.0,100.000
145,2026-09-04 18:50:50,compute-0-1,-84.0,96.000
145,2026-09-04 18:50:51,compute-0-2,-77.0,101.000
145,2026-09-04 18:50:51,compute-0-3,-83.0,24.000
146,2026-09-04 18:51:02,compute-0-1,49.0,133.000
146,2026-09-04 18:51:02,compute-0-2,55.0,132.000
146,2026-09-04 18:51:02,compute-0-3,16.0,99.000
147,2026-09-04 18:51:13,compute-0-1,-7.0,56.000
147,2026-09-04 18:51:13,compute-0-2,-18.0,73.000
147,2026-09-04 18:51:13,compute-0-3,-6.0,22.000
148,2026-09-04 18:51:24,compute-0-1,-39.0,32.000
148,2026-09-04 18:51:24,compute-0-2,-47.0,29.000
148,2026-09-04 18:51:24,compute-0-3,-71.0,65.000
149,2026-09-04 18:51:35,compute-0-1,62.0,101.000
149,2026-09-04 18:51:35,compute-0-2,75.0,122.000
149,2026-09-04 18:51:36,compute-0-3,58.0,129.000
150,2026-09-04 18:51:46,compute-0-1,26.0,36.000
150,2026-09-04 18:51:46,compute-0-2,9.0,66.000
150,2026-09-04 18:51:47,compute-0-3,3.0,55.000
151,2026-09-04 18:51:57,compute-0-1,-7.0,33.000
151,2026-09-04 18:51:57,compute-0-2,3.0,6.000
151,2026-09-04 18:51:58,compute-0-3,-73.0,76.000
152,2026-09-04 18:52:08,compute-0-1,72.0,79.000
152,2026-09-04 18:52:08,compute-0-2,-112.0,115.000
